Time , 13:41:54,  [Data], NEP 0
Time , 13:41:54,  [Data], ISDN 0
Time , 13:41:55,  [Data], VOL 0
Time , 13:41:56,  [Data], DPM 0
Time , 13:41:56,  [Data], NEP 0
Time , 13:41:56,  [Data], ISDN 0
Time , 13:41:57,  [Data], VOL 0
Time , 13:41:58,  [Data], DPM 0
Time , 13:41:58,  [Data], NEP 0
Time , 13:41:58,  [Data], ISDN 0
Time , 13:41:59,  [Data], VOL 0
Time , 13:42:00,  [Data], DPM 0
Time , 13:42:00,  [Data], NEP 0
Time , 13:42:00,  [Data], ISDN 0
Time , 13:42:01,  [Data], VOL 0
Time , 13:42:02,  [Data], DPM 0
Time , 13:42:02,  [Data], NEP 0
Time , 13:42:02,  [Data], ISDN 0
Time , 13:42:03,  [Data], VOL 0
Time , 13:42:04,  [Data], DPM 0
Time , 13:42:04,  [Data], NEP 0
Time , 13:42:04,  [Data], ISDN 0
Time , 13:42:05,  [Data], VOL 0
Time , 13:42:06,  [Data], DPM 0
Time , 13:42:06,  [Data], NEP 0
Time , 13:42:06,  [Data], ISDN 0
Time , 13:42:07,  [Data], VOL 0
Time , 13:42:08,  [Data], DPM 0
Time , 13:42:08,  [Data], NEP 0
Time , 13:42:08,  [Data], ISDN 0
Time , 13:42:09,  [Data], VOL 0
Time , 13:42:10,  [Data], DPM 0
Time , 13:42:10,  [Data], NEP 0
Time , 13:42:10,  [Data], ISDN 0
Time , 13:42:11,  [Data], VOL 0
Time , 13:42:12,  [Data], DPM 0
Time , 13:42:12,  [Data], NEP 0
Time , 13:42:12,  [Data], ISDN 0
Time , 13:42:13,  [Data], VOL 0
Time , 13:42:14,  [Data], DPM 0
Time , 13:42:14,  [Data], NEP 0
Time , 13:42:14,  [Data], ISDN 0
Time , 13:42:15,  [Data], VOL 0
Time , 13:42:16,  [Data], DPM 0
Time , 13:42:16,  [Data], NEP 0
Time , 13:42:16,  [Data], ISDN 0
Time , 13:42:17,  [Data], VOL 0
Time , 13:42:18,  [Data], DPM 0
Time , 13:42:18,  [Data], NEP 0
Time , 13:42:18,  [Data], ISDN 0
Time , 13:42:19,  [Data], VOL 0
Time , 13:42:20,  [Data], DPM 0
Time , 13:42:20,  [Data], NEP 0
Time , 13:42:20,  [Data], ISDN 0
Time , 13:42:21,  [Data], VOL 0
Time , 13:42:22,  [Data], DPM 0
Time , 13:42:22,  [Data], NEP 0
Time , 13:42:22,  [Data], ISDN 0
Time , 13:42:23,  [Data], VOL 0
Time , 13:42:24,  [Data], DPM 0
Time , 13:42:24,  [Data], NEP 0
Time , 13:42:24,  [Data], ISDN 0
Time , 13:42:25,  [Data], VOL 0
Time , 13:42:26,  [Data], DPM 0
Time , 13:42:26,  [Data], NEP 0
Time , 13:42:26,  [Data], ISDN 0
Time , 13:42:27,  [Data], VOL 0
Time , 13:42:28,  [Data], DPM 0
Time , 13:42:28,  [Data], NEP 0
Time , 13:42:28,  [Data], ISDN 0
Time , 13:42:29,  [Data], VOL 0
Time , 13:42:30,  [Data], DPM 0
Time , 13:42:30,  [Data], NEP 0
Time , 13:42:30,  [Data], ISDN 0
Time , 13:42:31,  [Data], VOL 0
Time , 13:42:32,  [Data], DPM 0
Time , 13:42:32,  [Data], NEP 0
Time , 13:42:32,  [Data], ISDN 0
Time , 13:42:33,  [Data], VOL 0
Time , 13:42:34,  [Data], DPM 0
Time , 13:42:34,  [Data], NEP 0
Time , 13:42:34,  [Data], ISDN 0
Time , 13:42:35,  [Data], VOL 0
Time , 13:42:36,  [Data], DPM 0
Time , 13:42:36,  [Data], NEP 0
