Time , 13:44:42,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:44,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:46,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:48,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:50,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:52,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:54,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:56,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:44:58,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:00,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:02,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:04,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:06,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:08,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:10,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:12,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:14,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:16,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:18,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:20,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:22,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:24,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:26,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:28,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
